Fecha;Turno;Proveedor;KLS Leche
03/06/2022;M;604559;528
30/08/2022;T;40497;130
08/08/2022;T;41816;875
25/03/2023;T;43728;397
17/11/2022;M;93053;613
25/02/2023;T;73647;418
21/03/2023;M;59262;838
19/09/2022;M;85414;535
30/10/2022;T;90587;681
22/02/2023;M;41550;622
22/07/2022;M;38925;397
09/02/2023;T;75118;303
22/03/2022;M;53919;944
29/04/2022;M;73975;610
18/12/2022;T;89080;866
08/04/2023;T;52383;609
04/05/2022;M;36535;915
12/02/2023;M;63150;816
11/06/2022;T;80198;164
17/01/2023;T;54342;775
11/03/2023;T;32873;95
04/12/2022;M;88511;77
25/09/2022;T;60777;151
13/04/2022;T;26753;971
09/05/2023;M;11023;757
31/08/2022;T;16716;751
09/12/2022;T;84655;208
06/06/2022;T;98275;42
06/01/2022;T;65918;684
20/09/2022;T;68445;872
07/05/2022;T;28865;792
01/04/2023;T;86775;422
01/12/2022;M;55767;110
19/01/2022;T;97207;221
21/05/2022;T;68901;713
30/01/2022;M;92313;124
11/03/2023;M;92051;742
27/02/2022;M;17428;20
10/12/2022;M;08452;35
08/05/2022;T;84177;604
07/11/2022;M;65312;784
19/06/2022;T;10120;324
19/03/2022;M;78489;146
12/04/2023;T;38439;838
12/10/2022;T;16083;220
29/06/2022;T;34263;639
31/03/2022;M;41112;500
13/07/2022;T;57041;323
06/01/2023;T;32383;544
09/04/2022;T;24771;518
09/04/2023;T;63033;63
26/04/2023;M;45880;168
30/04/2022;M;85798;201
27/09/2022;M;84651;907
01/01/2023;T;57846;740
23/05/2022;M;57568;369
08/10/2022;M;96669;518
11/09/2022;M;76143;900
27/05/2023;M;66887;618
19/03/2022;M;06710;896
11/07/2022;M;47966;97
17/05/2022;M;92592;59
06/10/2022;M;13896;990
19/04/2022;T;16286;705
18/08/2022;T;23934;487
01/05/2022;T;37600;181
22/02/2022;M;34771;458
08/01/2023;M;82240;866
18/05/2022;T;63466;671
03/11/2022;M;02897;127
16/04/2023;T;60970;127
22/04/2023;M;63363;236
15/08/2022;M;13953;578
16/01/2022;M;94476;700
30/05/2022;T;38363;300
10/04/2022;M;29419;169
15/08/2022;T;98347;280
13/01/2022;T;04008;916
16/12/2022;M;15274;273
16/11/2022;M;23933;992
13/10/2022;T;69333;918
30/10/2022;M;57281;445
09/12/2022;T;35966;721
13/02/2022;M;75546;348
06/05/2022;T;69060;887
12/09/2022;M;50469;413
10/02/2022;T;58212;502
26/08/2022;M;85350;684
11/11/2022;M;49181;350
18/05/2023;M;76835;360
31/07/2022;T;87603;596
22/01/2022;T;73067;950
15/11/2022;M;25547;677
08/01/2022;M;46501;29
28/04/2022;M;14742;216
14/05/2023;T;67561;882
11/07/2022;T;00077;375
13/12/2022;M;92956;590
19/02/2023;M;49660;267
10/06/2022;T;27578;680
