Proveedor,Grasa,Solido
488433,54,10
599633,95,8
184540,10,16
029026,98,91
368450,95,79
539079,25,6
744474,28,41
271408,70,77
712813,21,91
189932,86,84
689548,68,40
172477,37,70
907096,26,87
550017,55,47
518182,27,44
508328,85,47
039828,49,32
736490,66,20
350601,68,6
592731,34,52
728092,40,2
479940,58,35
155454,61,78
939778,86,92
210758,27,92
759074,6,50
089842,83,76
727700,50,71
525746,2,83
336657,31,74
437538,1,69
405408,14,23
831312,30,15
132089,31,99
655221,8,61
049072,72,28
788925,10,81
674971,80,80
099347,25,89
038768,53,70
116355,25,34
489525,50,61
446067,81,13
080296,58,89
158463,88,12
868443,98,29
373852,28,97
127664,84,69
523811,15,53
092646,87,48
508783,81,89
432443,13,43
508091,59,8
389594,61,94
242356,35,76
926997,43,19
689511,13,70
987029,78,41
665244,7,26
054875,90,36
947889,14,28
132463,39,15
526442,56,33
668922,96,60
595638,12,13
081060,45,1
397160,90,61
065975,28,100
555080,5,1
604937,42,4
492947,83,84
945661,6,63
001376,87,100
562438,41,93
821512,31,63
089812,41,6
961745,53,33
514349,54,51
045274,14,58
000667,6,81
662789,58,30
493108,28,19
461839,14,18
759490,93,27
451547,80,62
137638,49,64
889981,46,82
866729,56,14
995902,49,88
809348,16,91
031103,68,48
112769,34,36
036157,18,83
922582,60,52
102722,34,14
795489,93,3
728605,23,22
301387,72,63
516843,10,70
203943,76,12
074428,13,33
063318,23,45
280235,74,69
043508,56,18
994181,60,34
491406,69,70
787489,52,23
131352,60,10
733538,23,22
913571,10,61
590552,64,57
479403,8,97
421444,35,2
429765,54,33
235965,13,20
354269,84,78
648943,21,9
076530,81,43
210347,89,83
344991,4,4
336213,74,42
472210,14,55
098798,48,43
855636,65,71
867113,39,27
363119,60,46
472928,39,20
052237,97,99
600826,46,51
603174,64,91
891075,22,45
478023,7,33
904646,1,25
591312,42,64
667088,74,35
176765,97,20
858086,87,77
030685,72,9
850753,73,77
802562,53,58
779083,59,24
373099,85,33
930344,35,55
299599,90,37
806320,22,15
782154,68,49
897433,92,35
945241,59,66
235289,31,99
718725,49,26
073552,1,85
430957,100,86
939631,40,47
073003,55,20
586895,15,42
659716,83,86
089923,73,81
840052,52,97
924190,16,49
479755,63,37
440044,93,21
323526,55,49
422539,90,58
747532,98,68
312053,50,69
209408,39,90
829096,37,76
431764,77,1
342984,57,67
128486,64,52
588104,13,5
521555,91,15
322817,36,61
680066,2,12
158988,65,33
657208,40,79
268532,95,3
802425,30,50
494792,50,70
530122,47,21
966067,61,98
111796,1,81
518824,85,73
551538,62,21
920837,95,35
448485,18,62
554279,75,17
405358,1,23
366128,97,3
008567,8,13
604453,14,35
373333,12,84
417708,4,19
973812,97,55
842539,63,24
996575,35,25
210842,3,73
855866,20,75
289951,53,54
268971,83,19
654110,8,10
430082,14,2
886063,2,32
871390,63,48
573358,22,16
095141,80,17
551404,61,64
697187,14,66
868370,65,41
378987,5,63
276242,48,6
845241,53,100
290676,65,29
095215,88,20
077228,42,56
146329,64,64
815770,83,33
325769,14,89
540642,93,72
728964,90,95
781595,61,47
759364,61,66
125319,23,88
124557,83,74
627374,59,4
572249,85,82
841008,41,45
822222,97,7
165029,77,1
148672,69,8
934755,89,86
908152,93,72
616272,96,67
703520,63,54
185099,30,60
515909,9,2
259240,14,17
008618,34,85
417282,84,32
410269,96,1
615944,21,24
736816,64,69
982229,66,14
597285,91,80
298477,10,74
199971,53,6
018685,78,79
449605,26,59
970562,6,68
837494,64,16
022258,22,28
518823,96,34
013585,61,27
469061,37,7
468268,68,11
540407,41,58
903715,2,14
322388,36,54
503111,73,12
997410,76,50
119472,82,64
512383,36,28
076063,75,38
313436,38,89
446791,18,87
157414,25,28
659717,63,36
339003,29,85
915716,74,38
030391,10,33
673394,41,25
209593,73,74
838028,82,83
222846,63,67
199558,26,67
881484,83,61
512194,40,84
161377,40,90
574669,46,55
295747,92,55
447536,22,62
316197,75,62
769161,87,52
896023,85,76
135389,97,85
544532,48,88
433440,3,44
647633,39,13
197186,61,2
066177,31,59
418074,52,50
419216,58,20
623168,88,3
121721,7,77
059196,65,85
797086,61,20
400860,57,43
779648,76,30
132246,89,27
736616,76,49
300539,78,41
699711,74,45
002539,40,92
149749,86,13
486755,20,26
000357,6,60
602279,57,12
298181,32,20
259348,50,69
308504,62,86
800574,39,81
830739,36,25
006936,81,23
677302,89,46
634393,94,15
140931,32,35
038269,41,88
082530,37,93
112555,81,98
338167,18,82
612612,57,40
574711,68,97
513707,52,31
823029,32,81
877091,94,29
042161,35,23
477203,38,47
887239,34,81
286205,27,74
085141,84,71
726706,81,3
829304,54,18
149243,67,81
167575,57,55
781333,78,82
265205,72,73
584877,35,85
783482,40,79
383630,48,37
721334,66,33
652024,37,42
984604,60,57
196138,47,31
686261,4,27
013471,45,55
980498,27,51
358687,27,44
947332,94,58
743411,92,22
710269,45,3
439517,58,98
818312,67,85
952420,33,14
210667,81,49
716494,26,99
183854,32,90
444536,77,42
895636,48,47
088342,89,66
773554,67,45
953448,41,73
654703,22,5
284940,58,67
365826,65,37
686837,89,64
847102,77,59
808542,87,42
476277,63,77
622709,74,68
240115,43,56
434507,14,61
799439,60,35
629010,81,42
455330,63,45
457114,37,49
217216,33,84
670508,13,36
628050,52,70
727975,23,58
703574,7,76
025412,40,8
692912,57,85
845510,18,41
501963,27,21
673244,30,77
333522,82,95
559200,55,9
806648,47,77
814066,8,30
526183,44,91
967537,56,76
327265,32,9
854714,72,75
633865,35,58
817881,39,74
756174,48,62
242782,69,100
824584,96,7
558849,1,13
070169,56,87
349132,98,14
394186,21,34
144889,8,75
629765,86,85
911754,1,83
575910,89,68
278069,15,54
294159,69,98
176055,96,11
830827,39,15
397566,24,82
513639,75,89
322628,30,73
434939,2,81
373902,56,49
597506,17,85
510839,46,90
926688,78,100
168564,58,95
939762,34,82
696645,93,66
494589,51,4
998588,86,66
159047,84,92
350556,67,78
499280,97,85
599593,20,77
170722,35,5
510037,25,8
925408,91,86
437873,75,43
646260,94,100
949444,94,11
398636,30,38
577524,82,74
489633,56,42
495266,65,45
104190,67,15
191138,75,19
160544,34,24
501968,64,97
476917,62,84
546414,55,97
176982,88,72
823310,79,9
459244,74,49
066448,24,76
020787,12,11
306753,62,98
799082,61,9
761052,77,16
567348,7,7
581214,80,79
923067,64,7
857318,60,86
866814,57,61
648493,50,76
157283,39,53
854299,20,6
538934,47,52
075599,39,8
312828,70,92
825322,55,69
108304,100,72
680394,45,63
631861,64,75
009110,56,65
258106,66,84
293332,76,58
231569,97,48
594959,25,45
000417,98,33
548728,55,42
689960,10,79
040498,81,45
083383,30,12
253688,76,24
754022,84,14
607304,36,98
849531,83,89
949015,2,6
778818,12,8
407538,14,3
329861,31,11
292378,30,55
096750,92,83
907702,87,21
390359,29,62
070838,47,44
259076,78,9
376932,29,80
233767,99,75
056383,39,95
906012,22,82
337451,46,6
108581,75,13
096716,93,31
634630,73,8
438528,61,41
034404,9,93
889853,95,41
102471,36,62
219300,23,6
288077,68,19
959003,73,45
200461,91,18
815488,70,82
414585,32,47
505569,98,30
432787,92,17
540760,59,34
365109,51,52
198125,10,20
307938,83,27
929782,76,75
158749,45,41
574235,55,33
041408,17,26
571258,5,29
944268,34,95
630364,72,89
701001,61,1
490677,53,9
011058,25,11
307549,90,82
130444,49,53
987180,79,3
730664,2,47
989165,86,49
871557,40,33
186482,95,57
481414,59,62
438914,97,51
033781,62,41
234733,8,63
487212,73,99
049944,47,97
167982,78,30
231266,73,67
560828,79,65
313676,43,85
331750,19,81
770203,18,35
100783,3,51
697185,65,98
583065,77,3
881987,3,57
974561,77,67
584804,72,88
708301,28,69
235208,73,1
449963,92,75
335597,24,71
266200,8,59
902860,56,77
859084,18,11
248983,28,45
079623,80,76
669937,72,86
349381,73,19
695455,2,37
034535,57,50
096933,10,73
610054,6,97
636652,17,19
693875,90,60
956369,93,27
920823,6,19
672487,9,84
344562,64,15
810532,12,61
038962,58,14
367077,41,23
555927,81,46
682757,31,68
684652,87,25
808985,41,67
411969,89,33
040794,76,97
450973,33,25
748574,31,68
287919,7,46
489739,67,61
908236,90,18
770536,1,57
000573,54,51
961422,3,31
405660,24,93
979583,87,28
533245,81,37
582475,75,83
425872,9,82
440509,12,83
507974,47,99
170541,30,23
516181,2,96
054937,97,95
000899,32,92
247459,15,72
889938,98,97
093267,9,81
813088,44,77
465853,32,58
464611,28,64
630325,5,81
733577,75,86
446180,30,90
720465,15,85
963649,24,35
412880,99,52
535002,73,14
573812,93,81
590350,14,83
741529,27,82
420956,15,55
509800,88,6
677041,64,9
557894,33,33
255029,26,66
034221,69,22
401848,37,30
588431,82,100
162696,57,18
918904,17,85
746747,22,9
323561,26,54
351728,32,52
658528,5,84
386974,85,82
306192,96,86
578220,18,36
027318,65,26
132757,32,37
563406,76,59
882886,14,70
826325,62,95
785763,85,25
141641,22,69
781495,42,62
444577,24,34
791677,8,10
746699,97,16
541560,5,24
777207,53,22
359327,53,10
078046,69,50
417673,1,48
328131,56,57
950742,30,37
833518,74,55
134269,73,88
673297,24,4
623699,100,15
640769,56,74
368803,89,45
813417,73,22
876667,60,71
524535,34,18
646085,5,16
626409,47,11
405930,62,13
216039,69,54
453524,18,99
597517,47,45
682467,1,12
914800,71,43
561359,14,24
944621,34,80
852700,43,88
303147,11,42
320720,63,89
389987,5,22
434611,8,7
470314,27,13
677952,74,66
047644,79,61
143027,10,51
351812,36,5
027671,83,41
217198,75,89
325956,70,91
801520,23,99
167080,13,77
565231,62,72
101117,17,87
989121,83,54
438714,33,31
610233,45,36
274151,56,31
124979,60,68
771655,98,25
532925,61,75
358885,62,79
668361,41,63
566024,4,48
512160,83,85
536637,14,57
983011,99,99
215715,69,46
905735,40,73
007053,73,8
051142,46,85
001058,1,5
858321,16,20
702871,98,46
609779,74,19
437760,19,97
252206,27,67
520194,28,61
845818,33,44
076616,95,21
574537,46,76
243511,67,36
113699,13,15
783106,37,88
724332,95,33
116153,45,100
688833,29,33
868946,27,59
213852,76,55
942381,23,82
812539,17,42
147489,45,90
783250,90,4
553651,55,88
365834,16,40
337993,11,84
207484,94,78
902360,24,69
313547,30,67
045173,93,98
090227,95,75
125060,2,86
912886,90,65
733220,20,65
728080,51,33
927056,26,21
408517,80,78
765850,42,97
712539,54,6
361475,62,1
162364,89,95
971069,89,43
125883,52,77
129778,3,43
684534,86,91
982205,90,79
085881,73,66
798063,71,99
393240,35,67
087332,26,53
979404,51,24
988265,50,34
654028,25,13
833726,89,29
571738,80,53
070468,63,91
705005,62,28
110583,66,19
563349,79,43
211651,42,69
050973,90,8
283465,40,33
187138,75,7
579777,6,4
333636,48,34
531592,61,30
358666,29,100
145857,21,71
954549,59,6
736203,40,15
321101,62,64
409363,70,89
278904,79,63
908568,36,74
143930,62,83
188790,74,1
973901,32,49
264080,58,58
930411,32,12
808835,97,28
724853,99,47
003528,52,63
670021,76,19
920670,6,35
159052,18,96
522652,22,27
586980,18,79
546414,17,2
265853,46,38
349663,35,92
698468,78,59
275940,58,52
175211,39,69
387082,92,86
615887,67,89
066702,52,29
448194,56,19
587017,36,31
140997,90,97
162373,47,59
294439,33,44
373515,70,80
490173,100,50
295715,28,71
125022,65,55
377378,73,62
674841,48,92
993767,99,92
